sentence,acceptable
Парк хоть раз окружал усадьбу?,1
Они не ссорятся из-за пустяков.,1
"Все зрители были заворожены певучим голосом талантливой актрисы, исполняющей в спектакле главную роль.",1
Грибов здесь не растет.,1
"Я не буду с тобой спорить, потому что ты всё равно не прав.",0
Развал лаборатории –– не его вина.,1
"Он сидел рядом с камином и вспоминал о том, что с ним произошло.",0
"Товар в складе и дом были застрахованы, так что в случае пожара я не рисковал потерей своих богатств.",1
Буквы Н и П различаются плохо.,1
"Никогда не забуду выражения растерянности и вместе с тем готовности к сопротивлению, которое было написано у него на лице, когда он выскочил на поверхность воды.",1
Рядом с тарелкой лежали серебряный нож и маленькая вилка.,1
"Она напомнила мне, что завтра выходной.",1
"Он вспоминал, что ее зовут Татьяна.",0
"Была в ней и изящество, и скромность, и достоинство.",0
Мы что-нибудь придумаем.,1
"Президент этой страны - человек, выступая по телевидению, популярный среди избирателей.",0
Эта речка впадает в небольшое озеро.,1
"Она хочет, чтобы нашелся такой богатый человек, который бы взял ее в жены.",1
Иван принял решение пойти на встречу одному.,0
Победных маршей не гремело.,1
"Хочу, чтобы, если вы захотели, то вам все показали.",0
Получу ли я от этого пользу?,1
"Я уверен, что возмутительное сообщение ТАСС о митинге 4 февраля кто-то и где-то редактировал.",1
Всякий школьник знает теорему Пифагора.,1
Сильный прибой и каменистый берег сделали пляж непригодным для купания.,1
"Он сейчас не спит на диване, а сидит за компьютером.",1
Установка не работала и трех лет.,1
Я не могла тогда сказать ему что-нибудь определенное.,1
"Они подвинулись, и я получил место рядом с ними.",0
Он выбирает из двух зол меньшее.,1
"Рядом с ним стоял какой-то высокий молодой человек, и они о чем-то очень оживленно разговаривали.",1
"Он всегда говорил очень убедительно, когда у меня возникали некоторые сомнения.",1
Я виделся с ней давно.,1
Мужиков в деревне не осталось.,1
"Ты всегда считаешь, что я неправа.",1
Алиса со вздохом отдала документы и отвернулась к окну.,1
"Она сразу вспомнила, что в мире есть радость.",1
"Он воображал, он ясно представлял себе, как этот мерзкий пучок станет рассказывать про серую лошадь, про глупого барина.",1
Мы первыми научились видеть дальше собственного порога и думать шире родимой околицы.,1
Туда идти было поблизости.,0
"Это сочетание не имеет смысл, а приобретает его в определенном контексте.",1
"Десятилетие за десятилетием автомобиль становился всё более комфортным и безопасным, но в то же время наращивал массу: увеличивал габариты, оснащался различными системами безопасности.",1
"Поймите, какую это дает уверенность и крепость.",1
Я сделал ей подарок.,1
"Мне все время казалось, что я говорю с тобой.",1
Я взяла в библиотеке книги.,1
"Поскольку очень нужно ему в очереди стоять, у тебя ничего не выйдет.",0
Он женат на одной полячке.,1
Книга была с особой целью куплена студентом у букиниста.,1
"Не думаю, чтобы он что-либо изменил.",1
"Приходится признать, что ни одна из сводок никуда не годится.",1
"Иван прилег, чтобы он отдохнул.",0
Учителя очень нужно увидеть.,1
Эмпирическая психология должна быть вне всякой философии.,1
Он рискует остаться один.,1
"Он много путешествовал, плавал далеко от родных берегов.",1
Виктор Ерофеев выразил желание выступать второй.,1
"Завернувшись в плед, мне стало тепло и уютно, озноб прекратился, так что очень скоро я заснул крепким, целебным сном.",0
Дверь плохо открылась.,0
Чтобы я стала еще с ним связываться!,1
Протянешь руку в последний момент ― а там никого.,1
Против наибольшей стороны разностороннего треугольника лежит наибольший его угол.,1
Фитнес-центр почти всем не по карману.,1
Весь класс перезаразился гриппом.,1
"Фуфлыгин посмотрел на часы, захлопнул крышку и стал вглядываться в даль, откуда к железной дороге приближалась шоссейная.",1
Я бы требовал не шуметь.,0
Перед домом есть девочка.,0
"Скрывая Стефана у себя в доме, я рисковал жизнью.",1
"Он понял, что она согласилась.",1
Наконец-то я ее увидел.,1
"Ей не спалось по ночам, и мне не спалось.",1
У малыша отняли единственную игрушку.,1
Возьми из моего кармана пакет и выброси в окно.,0
"Если что-нибудь случится не по нем, он вступает в бой.",1
"В журнале «Этнографическое обозрение» Д. Н. Ушаков не только опубликовал ряд статей об обычаях, но и о поверьях русских крестьян.",0
Сегодня письмо получил Саша.,1
"Человек любознательный и практичный, Шишкин с энтузиазмом изучал технические новинки своего времени и особенно интересовался различными способами получения изображения.",1
"Я не воспринимаю его как крупного ученого, хотя и знаю, что он крупный ученый.",1
Я здесь уже три часа.,1
Вы клали эту книгу в мой ящик?,1
Повар режет мясо острым ножом.,1
"Он получил облегчение, узнав, что она простила ему.",1
"Потом мы говорили о модном романе, герой которого нечаянно увидел героиню в купальне.",1
Выстрелов больше не раздавалось.,1
Кто находил мой кошелек?,1
По мосту идет Иван.,1
"Я думаю, что книгу взял кто-нибудь из сотрудников.",1
"Она уже за дверью обнаружила, что у матери гость.",1
Только вряд ли бы успел Абакумов эту власть проявить первый.,1
"В 1935 году советские граждане, проживащие в Манчжурии, уезжали в СССР.",1
Я всю косметику с каким бы то ни было ароматом убрала.,1
"Мне было неприятно им помогать, но я все-таки помогал.",1
Они решили сами распоряжаться.,1
"Меженин кончил почистить штык, вдруг перехватил мимолетно сощуренный взгляд сержанта на верхнем окне дома.",0
"Не знаешь, пенсию не дадут?",1
Офицер повторил конвойному приказание взять девочку.,1
"Когда отец Мухина после речи пополнился на сто пятьдесят граммов водки, то утратил какой бы то ни было интерес к происходящему.",1
Мой дядя восходил на Эверест.,1
"Я протянул ему ложку, которую Сев выразил желание держать сам.",1
"У меня сосед есть, — сказал Троекуров, — мелкопоместный грубиян; я хочу взять у него имение — как ты про это думаешь?",1
"Получив начальное домашнее образование, Гринёва отправили на службу в Белогорскую крепость.",0
Я взяла лыжи напрокат.,1
С вами говорит ученый секретарь Института точной механики.,1
Вода постепенно наполняет бассейн.,1
Увесистый замок всё так же надёжно запирает его входную дверь.,0
"Она стояла совсем рядом со мной, и я смог внимательно ее разглядеть.",1
Старосты на собрании не присутствовало.,0
"Господи, ну будь человеком, помоги ты мне, пожалуйста!",1
"Иван жалеет, что уехал.",1
Николай Евграфыч глядит на этой фотографии простаком.,1
"Согласно легенде, кастильский вельможа дон Руис Гонсало де Толедо пожертвовал этой церкви, в которой он пожелал быть погребенным, большие сокровища.",1
Я буду завтра в банке.,1
Его появление не вызвало замешательства.,1
Река течет на северо-восток.,1
"И казалось, что оба они вели медицинский разговор только для того, чтобы дать Ольге Ивановне возможность молчать, т. е. не лгать.",1
"Если никто понял, я объясню.",0
"Сейчас идут занятия по химии, физике.",1
"Он сказал мне, зачем только он туда ходил.",0
Князь Андрей в своем стремлении к духовному совершенству совершает немало ошибок и осуждал себя за них гораздо больше других.,0
Напрасно ты за нее огорчался.,1
"Мария считает, что какой-то крокодил пугает ее кошку.",1
"По мнению редакторов, различия между заблуждением и ложью, очевидно, не существует.",0
Немцы хоть раз окружали Орел?,1
"Я читал до тех пор, пока не начали слипаться отяжелевшие веки.",1
Ему бы только спать.,1
Она живет в маленьком городе поблизости от Курска.,1
Ребёнок XXI века слабо развит физически и подверженный большому количеству заболеваний.,0
Платье у ворота скреплено булавкой.,1
Девочка хочет мать купить ей куклу.,0
Бутылка не была в холодильнике.,1
"Если, конечно, он опять занят, ему же хуже.",1
И. С. Тургенев подвергает Базарова самому сложному испытанию – «испытанию любовью» – и этим раскрыл истинную сущность своего героя.,0
Гордыня и тщеславие — вот что сгубило великий талант молодого писателя.,1
У нас всегда дома кто-нибудь есть.,1
Последнее пять человек пришло.,0
"Ведущие банкиры страны уверены в том, что надвигается очередной экономический кризис.",1
"Когда они зашли в него, то поразились еще больше.",1
"Если он и затормозил, то не резко.",1
"Эшелон его формировался трое суток назад, где-то за Москвой, там же он и побрился у полкового парикмахера.",1
"Растерянно ухмыльнувшись, Никанор Иванович и сам не заметил, как оказался у письменного стола покойного.",1
"Навруз (21 марта) — это праздник нового года по солнечному календарю древних иранцев, приходящемуся на весеннее равноденствие, когда пробуждается природа и наступает время сельскохозяйственных работ.",0
Творога не горчило.,0
Ее усталые глаза смотрели вдаль.,1
Ему в первый раз пришли вопросы о возможности для его жены любить кого-нибудь.,1
"Что вы хотите, чтобы я сказал?",1
"Как утверждают одни ученые, эти игры вредны, как утверждают другие, они полезны.",1
Душа Павлова рухнула под нестерпимым чувством вины.,1
Договора не было нарушено.,0
На работе нормально функционирующей системы смена руководства не дол- жна сказаться отрицательно.,1
Меня никогда в этом доме не было.,0
Петя Иванов медленно обычно пишет контрольные работы.,0
"Пошел узнать, не случилось ли несчастья.",1
"Кто бы ни изучали историю русского флота, все восхищались блестящим военным искусством адмирала Фёдора Ушакова.",0
Никого там не было.,1
"Я начал читать и зачитался так, что, к огорчению взрослых, почти не обращаю внимания на нарядную ёлку.",0
"Как обычно, рекомендуется быть готовому к объёмной загрузке, сохранить резервную копию данных со смартфона и полностью зарядить его.",1
Она дала своему сыну прекрасное воспитание.,1
"Видно, что по ней давно уже не ходят люди.",1
"Он рад, что непохож на мужа барыниной Аннушки, с которым скандалы происходят раз в две недели: он ломится к жене, а та боится.",1
"Приятно ухаживать за тем, кого любишь и уважаешь.",1
"Я не могу ехать, у меня бабушка.",1
"Собеседники, недовольные каждый по своей причине ходом разговора, были мрачны.",1
"Нет уж, что бы там ни было, она не обрадует узурпатора расспросами и виду не подаст, насколько ей сейчас тревожно.",1
Он полностью загрузил грузовик сеном.,1
Я решал такие задачи в детстве.,1
Студенты педагогического факультета изучают продуктивные методы обучения в начальной школе.,1
Мне было приятно обращаться к кому-нибудь с такой просьбой.,0
Я шел по этому шоссе.,1
Северо-восточнее села располагаются образованные болота путём оседания песков.,0
Ответ он просил направить ответ командующему эскадрой...,1
"Англичане Олкок и Браун были первыми из людей, испытавших острую рассинхронизацию биологических ритмов.",0
"Значит, мы с тобой условились?",1
К тебе только что приходила какая-то блондинка.,1
Регистрация была проведена сразу по прибытию участников симпозиума в аэропорт.,0
Узенькая тропинка шла вдоль реки.,1
Он больше не развлекает меня анекдотами.,1
По ребенку сделало себе бутерброды.,0
"Те из лингвистов, кто занимался исследованием языка художественной литературы, не сомневается в особой роли глагола и в поэтическом,и в прозаическом тексте.",0
Он решил эту задачу.,1
"Прочитав эту книгу, вы получите много интересных сведений об австралийских аборигенах.",1
Вера чудом избежала ареста.,1
Она приняла ребенка к себе на руки.,1
Перемен в технической политике фирмы еще не началось.,0
"Помещики продавали мёртвые души крестьян Чичикову, видевшего выгоду в приобретении такого товара.",0
"На неприличный вопрос я получил и соответствующий ответ, причем в голосе Поликсены послышалась какая-то вибрация.",1
"Похоже, что он выиграет.",1
"Я звонил Маше, но ее дома не оказалось.",1
Зачем ты открыл форточку?,1
По всей колючей проволоке необходимо пустить электрический ток.,1
Мосты еще не сняли.,1
"Только бы он быстро не понял, в чем подвох.",1
"Бебов не может связать двух слов и не понимает, что это такое.",1
Я рисковал опозданием на семинар.,1
Это предприятие возглавляет некто Иванов.,1
Вчера в 10 часов я лежал на диване.,1
"В своих идеях и принципах он остался примером человека, противостоящего какому-либо подавлению большинством.",0
"Браконьерам, нарушающих закон, грозит серьёзный штраф.",0
"Студентам, обоим хорошо знающим эскимосский язык, не удалось разобрать здесь ни слова.",1
В левой части напишите слова в латинице про себя.,0
Я живу у самой Волги.,1
Он нашел хотя бы двух желающих.,0
Я не обиделась на него за отказ.,1
"Я не узнал своего любимого деревца: его ветви обрубили, расположенные низко.",0
"Пастуший сезон кончился, и пастух был озабочен поисками работы на зиму.",1
"Из того, что Вы сказали, я полагаю, что он прав.",1
"Пишу вам из деревни, куда заехал вследствие печальным обстоятельствам.",0
Почему ты не уговорил его остаться?,1
"Двулетние растения в первый год своей жизни не только цветут, а накапливают питательные вещества в корнях.",0
Он долго был в отчаянии.,1
Уже не в первый раз российская женская сборная по баскетболу одерживает впечатляющую победу над командой соперниц.,1
Каждый день я поливал и любовался этими необычными цветами.,0
Звезд на погонах не блестело.,1
Белинский принял этот роман с восторгом.,1
"Я чувствую, что он прав.",1
"Вот теплятся желтые свечи, забытые в чьем-то окне.",1
Рекламные ролики буквально кричат об эффективности чудо-таблеток от кашля.,1
"Я получил возможность все видеть, сам оставаясь незамеченным.",1
"Автор книги хотел как можно подробнее рассказать об этих людях, самих хозяевах своей судьбы.",0
У него в отделе хорошие биохимики.,1
"Раменье недалеко от Москвы, всего несколько часов.",1
Президент лично пригласил нас.,1
"Привел мальчика, держа в руках книгу.",0
"Она это любит, а я нет.",1
"Чтобы встать пораньше, надо завтра завести будильник.",1
Что-то треснуло в лесу.,1
"Я его заметила только в очках, хотя перед глазами было лишь цветное расплывчатое пятно.",0
Ты когда-нибудь ездил верхом?,1
Чего ты поел и попил лимонада?,0
Наша кошка поймала в подвале пять мышей.,1
"Подле Кутузова сидел австрийский генерал в странном, среди черных русских, белом мундире.",1
Этот тип уже пришел.,1
Перед домом есть колодец.,1
Только ты можешь дать мне горе.,0
И в матче с этой командой — особенно на «Петровском» я не увидел чего-то выдающегося.,1
У меня сейчас отпуск.,1
"В этой комнате, где в шестнадцать лет выздоравливал Ганин, и зародилось то счастье, тот женский образ, который, спустя месяц, он встретил наяву.",1
Они сидели друг против друга.,1
Жалобы этой женщины мне надоели.,1
Иногда он отвечает не сразу.,1
"Зажегся зеленый свет, но ни одной машины не тронулось с места.",1
У нас в институте много интересных людей.,1
Спросите любого врача: есть аппетит ― есть здоровье.,1
Больной съел немного бульона.,1
После этого они начали разговаривать громко.,1
"Л. Н. Толстой стремился глубоко раскрыть внутренний мир своих героев и потому подвергает их суровым испытаниям: светским обществом, богатством, смертью, любовью.",0
Кто-то должен взять на себя эту тяжелую обязанность.,1
"В эвакуации кафедру генетики получил профессор Шумский, который отлично поладил с деканом.",1
Он принял таблетку аспирина.,1
"Иван, кажется, в отпуске.",1
Один из преподавателей предложил новый план развития факультета и увеличить количество студентов.,0
"Трон достался Глостеру, убийце своего брата.",1
Зачем ты моешь пол?,1
"Снявши голову, по волосам не плачут.",1
Травы здесь не растет.,1
Выразительно и ярко передаёт Достоевский душевные терзания ставшего героя «Преступления и наказания» убийцей.,0
Она вдруг запнулась и долго смотрит непонимающими глазами на Елену Николаевну.,0
"Поскольку не было кворума, поэтому результат голосования признан недействительным.",0
В Красноярске впервые состоялся международный конкурс артистического мастерства «Весна — 2012».,1
"Одна из дам, которых он отдал приказ скинуть с поезда, оказалась американкой.",1
Я рискую опоздать на семинар.,1
"Я вижу, что там кто-то есть.",1
"Маша говорит, что к ней вчера приходил какой-то человек.",1
"Как бы ни был предан своему делу и усерден управляющий контрольной или казенной палатой, он имеет право быть занят лишь в присутственные часы.",1
Сложением девица отличалась безукоризненным.,1
Колосенцев с деловитым видом тут же поднялся.,1
Он сегодня пришел на работу вовремя.,1
"Это досадное приключение нарушило не столько наши планы, сколько расстроило нас.",0
Любой из вас мог бы пойти туда.,1
"Иван знает, что Маша уехала.",1
Он не будет есть каши.,0
"И вручил мне обещанную купюру, которая позволила нам всю неделю мазать хлеб маслом.",1
Танцоры стучали каблуками в такт музыке.,1
У меня возникло сомнение в истинности его слов.,1
Бонапарт первым приказал артиллеристам открыть огонь.,1
"Снижение добавки эфирной «головки» до 2% восполняется добавкой кубового остатка до 3%, что в сумме составит не менее 5%.",1
"Подарок предназначался для Нины, но она уехала.",1
Он и минуты не держал книги в руках.,1
Артистические коллективы неоднократно посещали наш город.,1
Он сел подле своей жены.,1
"Он говорил очень убедительно, но у меня возникли сомнения.",1
А вы не могли бы сыграть ноктюрн?,1
Он не опозорил семью женитьбой на служанке.,1
Она стояла у брата.,0
Не задавал ли он тебе каких-нибудь вопросов?,1
"Полшколы участвовали в организации благотворительной акции, приуроченной к Дню матери.",0
"С понедельника она идет в школу, каникулы закончились.",1
На ее лице выразилось презрение.,1
В доме нет кошки.,1
"Грамоты не только получили призёры, но и активные участники среди зрителей.",0
Сотрудники компании имели гарантированный отпуск.,1
Давно они жили в Стрелецке.,0
"На пути к победе солдаты готовы были претерпеть все бедствия, преодолеть все преграды.",1
"Подожди, я возьму из чемодана кофточку и выйду к тебе.",1
"Теряется золотое время, слушая глупые разговоры, — отрезала хозяйка.",0
"Пусть скажут нам, кто же отдал этот приказ снять первого сентября все посты на подъездах к школе?",1
При выращивании таких растений на дно горшка обычно кладут большой слой керамзита.,1
Сегодня в овощном были яблоки.,1
В этой реке масса рыбы.,1
"Английский дом представляет собой своеобразную вершину уюта и удобства и включал обстановку из множества столиков, пуфиков, диванов и кресел, стоящих перед камином.",0
Желаю вам счастливо доехать.,1
Он живет поблизости от меня.,1
Тонкими пальцами стала быстро заплетать косу.,1
"Боюсь, мне не хватит на это времени.",1
"Он сказал, что он заболел.",1
"Я сказала Ивану, что я ему не Жанна д'Арк.",1
Мешок не весит 50 кг.,1
"Дети, он боится, не спят.",0
Недалеко от моего дома есть колокольня.,1
Он сидел близко от меня и плакал.,0
"Если что-либо случится не по нем, он вступает в бой.",1
"А тыква превращалась в спектакле ""Золушка"" в карету.",1
Он принял чужое имя.,1
Она взяла из сундука небольшой коврик и постелила его перед диваном.,0
Загранпаспорт необходимо заменить по истечению срока его действия.,0
Камни заваливают вход в ущелье.,1
На заведующего на самого поступают жалобы.,1
"Я рад, что он, к счастью, уехал.",0
"Молодого человека, который стоит у окна, зовут Леонардо.",1
"В Москве люди, которые этого не понимают.",0
"Когда я закончил читать эту книгу, то я понял то, что у автора глубокий смысл.",0
"Я с автором согласна то, что молодёжь больше увлекается интернетом, чем книгами.",0
Он получил решительное отвращение к книгам.,1
Я этого не знаю.,1
"Всё, что он говорил и слушал до сих пор, не вызывало у него ровно никаких образов.",1
Множество людей пришло за кулисы.,1
Ванина двойка не огорчила маму.,1
"Он надел эту шапочку и показался Ивану в профиль и в фас, чтобы доказать, что он - мастер.",1
Встретимся около рыбного магазина рядом с метро «Университет».,1
Потому что у меня слов не находится.,1
Роза Львовна поднялась с кресел и царственной походкой направилась к двери.,1
Сад доходит до самой реки.,1
"Это оттого, что ты работаешь много.",1
"Его суровость, прерываемая резким крикливым весельем, свойственном безъюморным людям, почему-то ничуть не пугала, а, напротив, привлекала, казалась таинственной.",0
"Гарусов смотрел, как от огня начинали плакать и таять на стеклах толстые наледи.",1
"Я чувствую, что за мной определенно следят.",1
Я обязательно отдам эти деньги.,1
"Те, кто знал Николая до войны, не мог не заметить перемен в его характере.",0
"Около нее бежала молодая женщина в темно-синем пальто, а сзади — высокий мужчина в полушубке.",0
"Ты виноват уж тем, что хочется мне кушать.",1
У Самары Волга поворачивает на запад.,1
Он показался в назначенный срок.,0
Меня не было в Москве.,1
Незнайка ударил палкой его спину.,1
Они пошли каждый к себе домой.,1
Хозяйки в доме не чувствуется.,1
Ваши рыжие волосы примелькаются и вас начнут просто бить.,1
"Оглянувшись на мой голос, собака повернулась, постояла немного и побежала дальше по освещённой улице фонарями.",0
"Длительное время (примерно 200 лет) историки и лингвисты полагали, будто единый центр расселения славян находился в среднем Приднепровье.",1
"Его одежда была неизменно демократичной, почти бедной.",1
"Мальчик знал про мать свою, что она его очень любит, но вряд ли очень любил ее сам.",1
Весь год я ходила туда.,1
Особой гордостью державы был океанический рыболовецкий флот.,1
"Мысль их обнять, увидеть Марию Ивановну, от которой не имел я никаких известий, одушевляла меня восторгом.",1
"В путеводителе я позже вычитал, что киприоты всегда готовы приходить на помощь.",1
"Выход первого издания книги был довольно драматичным, почти детективным.",1
"И, конечно же, доказательством его сильной воли является его решительный поступок, когда он принял решение сам избавиться от собачки.",1
Ребенок тянул мать за подол.,1
"Вася сказал, что у него что-то для меня есть.",1
"Иванова, к сожалению, не будет.",1
"По одной из версий, именно за умелое правление и заботу к доставшемуся наследству Иван Данилович получил прозвание Калита.",0
Собрали меньше центнера хлопка с гектара.,1
"Используя возможность показать свой взгляд на мир природы, художниками создаются произведения пейзажной живописи.",0
Сергей вешал тогда эту карту.,1
А зачем Вы завязывали ногу?,1
"Картины этой группы молодых художников не только выставлялись в скромных клубах и на городских площадках, но и в больших музейных залах.",0
Перемен в технической политике фирмы не началось.,0
"Женщина эта была довольно крупная, однако это не мешало ей быть пластичной, выглядеть органично и женственно.",1
Есть ли в поселке врач?,1
"Если бы он резко не затормозил, произошла бы авария.",1
На шейке у нее темным огнем сверкал рубиновый крестик.,1
В отдалении показался человек.,0
Сколько радости было в этой встрече.,1
Тебе рыжиков не попадалось?,1
Один из людей в масках показался мне Васильевым.,0
Весь вечер я волновалась.,1
"Когда ты вошел, я не обедал, а читал газету.",1
Он обнажил мне суть явления.,1
"Он почувствовал, что его определенно кто-то догоняет.",1
"Да у него гранаты системы, ― сказал он как можно непринужденней и, взобравшись на коня, поскакал прочь.",0
Никакого атомного снаряда на борту корабля не находилось.,1
"Сотский, то есть десятник, пришёл через несколько дней.",1
"Согласно семейного предания, предки Зульфикара служили погонщиками слонов ещё в войсках Великих Моголов.",0
"Я был рядом с вашим домом, но к сожалению не смог зайти к вам.",1
"Когда пристает, кусай его!",1
"Он взял свой складной ножик, разрезал на ладони картошку на две равные части и подал своему спутнику.",1
Сани оказались каждые на своем месте.,1
Посетители удивлялись и хвалили изобретательность мастера.,0
"Неприятный мне разговор затянулся, вопреки моего ожидания.",0
Он дал очень какой-то ответ.,0
"На свете счастья нет, но есть покой и воля.",1
Эта спустившая шина стоила мне двух часов времени.,1
Камень закрывал вход в пещеру.,1
Где я имею право загорать голый?,1
Тетя всегда заранее знает о приезде Маши.,1
"Лучше разговаривать в саду, а не на пыльной дороге.",1
"Мальчик, ушедший было вперед, медленно возвращался к Арсению.",1
"Ты прочел ""Капитанскую дочку""?",1
"Главное, на что обратил внимание адвокат, – это на положительную характеристику его подзащитного.",0
Были получены два извещения.,1
У Пешковского обсуждается проблема залога.,1
"Осетровые рыбы, как я считаю, утратили свой былой вкус.",0
Ему это нравится самому.,1
Почтальон приходил в 8 утра.,1
Я говорю с Машей.,1
"Его самый верный товарищ обманул Иванова, предал, что донес.",0
Я всю косметику с каким-либо ароматом убрала.,1
Дуня косит на правый глаз.,1
В мае в Москве проходит книжная ярмарка.,1
"Изменения, он чувствует, необходимы.",0
Я воспринимаю ее только как красивую женщину.,1
Людей на площади не осталось.,1
На погонах блестели звезды.,1
В летнее время эта площадка превращалась в ресторан.,1
"Надо бы как-то об этом подумать, как-то осознать это!",1
"Согласно легенде, кастильский вельможа дон Руис Гонсало де Толедо, граф Оргас пожертвовал этой церкви, в которой он выразил желание быть погребенным, большие сокровища.",1
Опасность поскользнуться на льду или соскользнуть по нему вместе с тонким слоем покрывающего его снега увеличивалась с каждым шагом.,1
У тебя есть с кем посоветоваться?,1
"Размышляя над этой проблемой, мне вспомнился рассказ М.А. Шолохова «Судьба человека».",0
Вольсей был отставлен: на него взвалили всю вину неудачи.,1
Несколько посетителей что-нибудь написали в книгу отзывов.,0
Я принимала его за Вашего брата.,1
В таких партиях он почти не проигрывает.,1
За стеной дребезжит пианино.,1
"Закончив самостоятельную работу, тетради были сданы учителю.",0
"Я утверждаю, что кто может объять необъятное.",0
"Вокруг все спали, и большое количество спящих мужчин напоминало картину «Поле после битвы».",1
Ты взял белье из прачечной?,1
У нас нет дачи.,1
После этого он утратил какой-либо интерес к происходящему.,0
